symbol,company_name,source_index,business_focus_note,market_cap,pass_market_cap,roce,pass_roce,opm,pass_opm,operating_cash_flow,pass_operating_cash_flow,debt_to_equity,pass_debt_to_equity,pledged_pct,pass_pledged_pct,fundamentals_passed_count,fundamentals_failed,fundamentals_status,fundamentals_as_of,pledged_as_of,current_price,latest_rsi,latest_adx,plus_di,minus_di,trend_direction,rs_score_vs_nifty500,nearest_support,nearest_resistance,technically_attractive,price_sessions,rs_score_vs_nifty500_prev_avg,rs_momentum_vs_nifty500,rs_last_10d,recent_10day_contribution_pct,rs_6m_skip1m,rs_score_vs_sector_avg,sector_rank,rs_momentum_vs_sector,rrg_quadrant_vs_nifty500,rrg_quadrant_vs_sector,di_gap,thin_trend_flag,recent_spike_flag,fundamentals_clean,high_turnover_business_flag,hard_fundamentals_pass,soft_fundamental_fails,selection_eligible,full_standard_candidate
CARBORUNIV,Carborundum Uni.,Screener: Abrasives & Bearings,,24356.11,True,10.52,True,10.95,True,367.36,True,0.11,True,0.0,True,6,,OK,2026-09-26,Screener 2026-09-26,1278.5,69.39,29.12,41.3,10.35,Bullish (Uptrend),8.99,1068.5,1306.9,True,247,3.33,3.53,18.79,209.0,32.35,-0.16,41,6.02,LEADING,IMPROVING,30.95,False,True,True,False,True,,True,False
USHAMART,Usha Martin,Screener: Iron & Steel Products,,15810.0,True,19.47,True,20.03,True,655.34,True,0.07,True,0.0,True,6,,OK,2026-09-26,Screener 2026-09-26,518.8,56.11,16.72,28.21,19.65,Bullish (Uptrend),8.84,486.1,519.85,True,247,-0.59,13.43,6.17,69.8,14.08,-0.32,43,15.91,LEADING,IMPROVING,8.56,False,True,True,False,True,,True,False
GOODLUCK,Goodluck India,Screener: Iron & Steel Products,,5241.55,True,14.4,True,10.01,True,200.24,True,0.75,True,0.0,True,6,,OK,2026-09-26,Screener 2026-09-26,525.65,60.49,25.32,27.65,17.11,Bullish (Uptrend),8.66,485.03,528.8,True,247,10.95,1.18,3.02,34.9,29.86,-0.49,44,3.66,LEADING,IMPROVING,10.54,False,False,True,False,True,,True,False
VOLTAMP,Volt.Transform.,Screener: Heavy Electrical Equipment,,10834.42,True,23.5,True,15.96,True,139.71,True,0.0,True,0.0,True,6,,OK,2026-09-26,Screener 2026-09-26,10709.0,49.93,23.25,21.63,19.22,Bullish (Uptrend),7.96,10259.0,10760.0,True,247,11.35,-6.49,-0.45,-5.7,18.25,-1.19,46,-4.0,WEAKENING,LAGGING,2.41,False,False,True,False,True,,True,False
SKIPPER,Skipper,Screener: Heavy Electrical Equipment,,6224.54,True,23.52,True,10.44,True,277.38,True,0.63,True,0.0,True,6,,OK,2026-09-26,Screener 2026-09-26,551.15,48.72,12.15,22.76,23.76,Bearish (Downtrend),6.0,524.05,558.7,False,247,7.62,-2.46,-3.94,-65.7,50.31,-3.15,47,0.02,WEAKENING,IMPROVING,-1.0,True,False,True,False,True,,False,False
ASTRAL,Astral,Screener: Plastic Products - Industrial,,37584.16,True,19.22,True,16.33,True,1117.0,True,0.06,True,0.0,True,6,,OK,2026-09-26,Screener 2026-09-26,1399.0,39.65,21.86,16.82,25.65,Bearish (Downtrend),3.99,1397.0,1415.2,False,247,-5.02,0.0,-2.59,-64.9,-15.95,-5.16,49,2.49,WEAKENING,IMPROVING,-8.83,False,False,True,False,True,,False,False
SKFINDUS,SKF India Indus.,Screener: Abrasives & Bearings,,14426.0,True,29.89,True,10.7,True,163.83,True,0.0,True,0.0,True,6,,OK,2026-09-26,Screener 2026-09-26,2918.0,52.29,26.77,22.19,14.7,Bullish (Uptrend),3.39,2781.6,2929.5,True,200,20.96,-17.92,0.93,27.4,21.13,-5.76,50,-15.44,WEAKENING,LAGGING,7.49,False,False,True,False,True,,False,False
HBLENGINE,HBL Engineering,Screener: Other Industrial Products,,22341.91,True,59.3,True,31.98,True,738.44,True,0.03,True,0.0,True,6,,OK,2026-09-26,Screener 2026-09-26,806.0,71.79,30.56,38.14,14.78,Bullish (Uptrend),3.39,798.85,810.3,True,247,-9.77,5.99,13.32,392.9,-4.69,-5.77,51,8.48,LEADING,IMPROVING,23.36,False,True,True,False,True,,True,False
BHEL,B H E L,Screener: Heavy Electrical Equipment,,145881.04,True,9.14,True,9.4,True,5837.38,True,0.31,True,0.0,True,6,,OK,2026-09-26,Screener 2026-09-26,418.95,47.68,19.37,21.07,22.48,Bearish (Downtrend),2.98,408.15,420.95,False,247,8.5,-2.72,-0.94,-31.5,50.32,-6.17,52,-0.24,WEAKENING,LAGGING,-1.41,True,False,True,False,True,,False,False
RRKABEL,R R Kabel,Screener: Cables - Electricals,"Wires and cables are most of revenue, with a smaller consumer-electricals segment.",28596.46,True,28.1,True,8.54,True,295.29,True,0.13,True,0.0,True,6,,OK,2026-09-26,Screener 2026-09-26,2528.3,48.72,32.43,16.85,19.21,Bearish (Downtrend),2.76,2516.5,2549.0,False,247,8.99,-5.22,5.27,190.9,99.55,-6.39,53,-2.74,WEAKENING,LAGGING,-2.36,False,True,True,False,True,,False,False
