symbol,company_name,index,price_sessions,current_price,passed_technical_screen,technical_fail_reason,rs_score,adx,plus_di,minus_di,trend_direction,rsi,fundamentals_as_of,fundamentals_status,pledged_as_of,market_cap,pass_market_cap,roce,pass_roce,opm,pass_opm,operating_cash_flow,pass_operating_cash_flow,debt_to_equity,pass_debt_to_equity,pledged_pct,pass_pledged_pct,passed_fundamental_screen,failed_criteria,passes_both_screens
PREMIERENE,Premier Energies Ltd.,Nifty Capital Goods,248,898.0,False,RS <= +2 pp; trend Bearish,-12.1,40.55,8.22,31.42,Bearish (Downtrend),33.99,,,,,,,,,,,,,,,,,,False
ENRIN,Siemens Energy India Ltd.,Nifty Capital Goods,248,3215.4,False,RS <= +2 pp,-10.33,15.41,22.76,22.17,Bullish (Uptrend),48.54,,,,,,,,,,,,,,,,,,False
SIEMENS,Siemens Ltd.,Nifty Capital Goods,248,3841.8,False,trend Bearish,8.32,17.03,18.78,19.75,Bearish (Downtrend),44.96,,,,,,,,,,,,,,,,,,False
SUPREMEIND,Supreme Industries Ltd.,Nifty Capital Goods,248,3434.0,False,trend Bearish,2.78,16.41,22.5,23.17,Bearish (Downtrend),46.78,,,,,,,,,,,,,,,,,,False
SUZLON,Suzlon Energy Ltd.,Nifty Capital Goods,248,40.74,False,RS <= +2 pp; trend Bearish,-26.27,38.36,12.59,35.21,Bearish (Downtrend),23.85,,,,,,,,,,,,,,,,,,False
TDPOWERSYS,TD Power Systems Ltd.,Nifty Capital Goods,248,742.0,False,RS <= +2 pp; trend Bearish,-38.45,29.32,22.83,31.79,Bearish (Downtrend),38.43,,,,,,,,,,,,,,,,,,False
TMCV,Tata Motors Ltd.,Nifty Capital Goods,216,437.15,True,,3.64,18.54,21.0,19.9,Bullish (Uptrend),44.36,2026-09-25,OK,,160993.0,True,59.9,True,12.54,True,11312.0,True,0.25,True,0.0,True,True,,True
THERMAX,Thermax Ltd.,Nifty Capital Goods,248,3406.1,False,RS <= +2 pp; trend Bearish,-27.04,52.26,6.51,29.12,Bearish (Downtrend),23.28,,,,,,,,,,,,,,,,,,False
TIMKEN,Timken India Ltd.,Nifty Capital Goods,248,3256.9,False,RS <= +2 pp,-8.43,14.69,21.49,15.17,Bullish (Uptrend),54.54,,,,,,,,,,,,,,,,,,False
TITAGARH,Titagarh Rail Systems Ltd.,Nifty Capital Goods,248,819.25,False,RS <= +2 pp; trend Bearish,-5.36,12.65,17.07,22.31,Bearish (Downtrend),43.79,,,,,,,,,,,,,,,,,,False
TRITURBINE,Triveni Turbine Ltd.,Nifty Capital Goods,248,551.8,False,RS <= +2 pp; trend Bearish,-15.13,15.78,14.09,19.22,Bearish (Downtrend),42.53,,,,,,,,,,,,,,,,,,False
USHAMART,Usha Martin Ltd.,Nifty Capital Goods,248,523.2,True,,13.02,16.64,30.2,19.14,Bullish (Uptrend),58.54,2026-09-25,OK,30-Jun-2026,15944.0,True,19.5,True,20.02,True,655.0,True,0.07,True,0.0,True,True,,True
VOLTAMP,Voltamp Transformers Ltd,Nifty Capital Goods,248,10587.0,True,,5.17,24.58,21.66,20.1,Bullish (Uptrend),47.56,2026-09-25,OK,30-Jun-2026,10711.0,True,23.5,True,15.96,True,140.0,True,0.0,True,0.0,True,True,,True
WAAREEENER,Waaree Energies Ltd.,Nifty Capital Goods,248,2482.0,False,RS <= +2 pp; trend Bearish,-15.1,29.22,11.57,21.43,Bearish (Downtrend),38.24,,,,,,,,,,,,,,,,,,False
WELCORP,Welspun Corp Ltd.,Nifty Capital Goods,248,2692.2,True,,87.45,43.68,33.02,20.18,Bullish (Uptrend),61.63,2026-09-25,OK,30-Jun-2026,71018.0,True,22.9,True,13.89,True,3204.0,True,0.26,True,0.0,True,True,,True
