sector,symbol,company_name,fundamentals_passed_count,criteria_total,fundamentals_clean,fundamentals_failed,technically_attractive,rs_score_vs_nifty500,rs_last_10d,recent_10day_contribution_pct,recent_spike_flag,trend_direction,latest_adx,latest_rsi,rs_score_vs_sector_avg,sector_rank,sector_size,next_results_date,results_date_status,results_within_30_days,prior_year_sep_qtr_results_date,clean_candidate,source_index,business_focus_note,market_cap,pass_market_cap,roce,pass_roce,opm,pass_opm,operating_cash_flow,pass_operating_cash_flow,debt_to_equity,pass_debt_to_equity,pledged_pct,pass_pledged_pct,fundamentals_status,fundamentals_as_of,pledged_as_of,current_price,plus_di,minus_di,nearest_support,nearest_resistance,price_sessions,rs_score_vs_nifty500_prev_avg,rs_momentum_vs_nifty500,rs_6m_skip1m,rs_momentum_vs_sector,rrg_quadrant_vs_nifty500,rrg_quadrant_vs_sector,di_gap,thin_trend_flag,high_turnover_business_flag,hard_fundamentals_pass,soft_fundamental_fails,selection_eligible,full_standard_candidate,interest_coverage,pass_interest_coverage
Cement,SHREECEM,Shree Cement Ltd.,6,6,True,,False,-8.72,0.36,,False,Bearish (Downtrend),33.29,39.85,-3.9,11,16,2026-10-23,announced,True,2025-10-28,False,Nifty Cement,,81254.0,True,10.3,True,20.9,True,3794.0,True,0.08,True,0.0,True,OK,2026-09-26,30-Jun-2026,22520.0,19.01,28.87,22370.0,24485.0,247,-5.67,-4.48,-4.59,-4.87,LAGGING,LAGGING,-9.86,False,False,True,,False,False,,
Cement,STARCEMENT,Star Cement Ltd.,6,6,True,,False,-8.79,-2.63,,False,Bearish (Downtrend),25.16,41.12,-3.97,12,16,,not announced,,2025-11-04,False,Nifty Cement,,7542.0,True,16.6,True,23.69,True,765.0,True,0.19,True,1.33,True,OK,2026-09-26,30-Jun-2026,186.61,16.57,28.94,186.0,196.34,247,-11.48,2.76,-24.61,2.37,IMPROVING,IMPROVING,-12.37,False,False,True,,False,False,,
Capital Goods,CUMMINSIND,Cummins India Ltd.,6,6,True,,False,-9.04,-2.55,,False,Bearish (Downtrend),24.88,39.57,-10.76,38,54,,not announced,,2025-11-06,False,Nifty Capital Goods,,137075.0,True,39.5,True,20.44,True,1734.0,True,0.0,True,0.0,True,OK,2026-09-26,30-Jun-2026,4945.0,15.63,26.36,4908.6,4957.0,247,-12.79,2.71,1.09,5.48,IMPROVING,IMPROVING,-10.73,False,False,True,,False,False,,
Capital Goods,POWERINDIA,Hitachi Energy India Ltd.,6,6,True,,False,-9.54,1.01,,False,Bearish (Downtrend),17.41,43.66,-11.27,39,54,,not announced,,2025-11-03,False,Nifty Capital Goods,,138330.0,True,29.4,True,15.54,True,1245.0,True,0.02,True,0.0,True,OK,2026-09-26,,31035.0,20.51,25.55,31020.0,31875.0,247,-11.21,1.67,22.56,4.43,IMPROVING,IMPROVING,-5.04,False,False,True,,False,False,,
Capital Goods,FINPIPE,Finolex Industries Ltd.,6,6,True,,False,-9.94,-0.34,,False,Bearish (Downtrend),26.56,43.12,-11.67,40,54,,not announced,,2025-11-07,False,Nifty Capital Goods,,9565.0,True,11.8,True,17.5,True,192.0,True,0.07,True,0.0,True,OK,2026-09-26,30-Jun-2026,154.16,13.3,20.54,152.68,162.59,247,-11.38,-1.15,-18.04,1.6,LAGGING,IMPROVING,-7.24,False,False,True,,False,False,,
Capital Goods,KIRLOSENG,Kirloskar Oil Eng Ltd.,6,6,True,,False,-10.73,-1.73,,False,Bullish (Uptrend),13.77,48.72,-12.45,41,54,,not announced,,2025-11-11,False,Nifty Capital Goods,,31100.0,True,14.6,True,17.51,True,932.0,True,1.48,True,0.0,True,OK,2026-09-26,30-Jun-2026,2137.2,19.82,18.65,2132.4,2278.5,247,16.78,-27.87,44.15,-25.1,LAGGING,LAGGING,1.17,True,False,True,,False,False,,
Capital Goods,PREMIERENE,Premier Energies Ltd.,6,6,True,,False,-11.19,-5.87,,False,Bearish (Downtrend),41.84,33.73,-12.91,42,54,,not announced,,2025-10-28,False,Nifty Capital Goods,,40692.0,True,32.7,True,30.04,True,1261.0,True,0.86,True,0.0,True,OK,2026-09-26,,896.4,7.88,30.25,894.05,904.85,247,-11.23,-0.7,1.97,2.06,LAGGING,IMPROVING,-22.37,False,False,True,,False,False,,
Cement,JSWCEMENT,JSW Cement Ltd.,6,6,True,,False,-11.31,-2.87,,False,Bearish (Downtrend),36.52,29.39,-6.5,13,16,,not announced,,2025-11-07,False,Nifty Cement,,15743.0,True,11.1,True,17.75,True,1170.0,True,0.68,True,0.08,True,OK,2026-09-26,30-Jun-2026,115.47,12.1,30.34,115.23,123.9,247,-7.19,-2.93,-3.5,-3.32,LAGGING,LAGGING,-18.24,False,False,True,,False,False,,
Capital Goods,HONAUT,Honeywell Automation India Ltd.,6,6,True,,False,-11.49,0.69,,False,Bearish (Downtrend),19.76,39.64,-13.21,43,54,,not announced,,2025-11-05,False,Nifty Capital Goods,,29937.0,True,17.0,True,13.52,True,493.0,True,0.02,True,0.0,True,OK,2026-09-26,30-Jun-2026,33865.0,18.79,22.98,33800.0,34645.0,247,-4.94,-5.64,19.91,-2.87,LAGGING,LAGGING,-4.19,False,False,True,,False,False,,
Capital Goods,WAAREEENER,Waaree Energies Ltd.,6,6,True,,False,-11.83,-0.56,,False,Bearish (Downtrend),29.12,40.06,-13.55,45,54,,not announced,,2025-10-16,False,Nifty Capital Goods,,71769.0,True,38.4,True,21.14,True,1627.0,True,0.22,True,0.0,True,OK,2026-09-26,,2495.0,11.42,20.24,2491.3,2653.0,247,-18.04,2.72,-28.03,5.48,IMPROVING,IMPROVING,-8.82,False,False,True,,False,False,,
Capital Goods,GVT&D,GE Vernova T&D India Ltd.,6,6,True,,False,-11.92,-4.31,,False,Bearish (Downtrend),10.7,45.96,-13.65,46,54,,not announced,,2025-11-03,False,Nifty Capital Goods,,109589.0,True,77.4,True,26.18,True,1710.0,True,0.01,True,0.0,True,OK,2026-09-26,30-Jun-2026,4280.0,24.22,25.4,4251.8,4344.0,247,-10.02,-4.71,11.39,-1.95,LAGGING,LAGGING,-1.18,True,False,True,,False,False,,
Cement,BIRLACORPN,Birla Corporation Ltd.,6,6,True,,False,-12.18,3.15,,False,Bearish (Downtrend),32.59,48.09,-7.37,14,16,,not announced,,2025-11-07,False,Nifty Cement,,6548.0,True,9.78,True,14.72,True,950.0,True,0.46,True,0.0,True,OK,2026-09-26,30-Jun-2026,850.3,17.44,21.44,832.1,897.95,247,-12.87,-2.21,-2.76,-2.6,LAGGING,LAGGING,-4.0,False,False,True,,False,False,,
Capital Goods,POLYCAB,Polycab India Ltd.,6,6,True,,False,-12.29,2.12,,False,Bearish (Downtrend),24.55,43.01,-14.01,47,54,,not announced,,2025-10-17,False,Nifty Capital Goods,,126713.0,True,33.2,True,13.74,True,3811.0,True,0.02,True,0.0,True,OK,2026-09-26,30-Jun-2026,8408.5,16.57,24.31,8355.5,8455.0,247,-15.96,3.15,19.32,5.92,IMPROVING,IMPROVING,-7.74,False,False,True,,False,False,,
Capital Goods,KEI,KEI Industries Ltd.,6,6,True,,False,-12.56,2.24,,False,Bearish (Downtrend),29.14,39.99,-14.28,48,54,,not announced,,2025-10-15,False,Nifty Capital Goods,,44679.0,True,20.0,True,11.08,True,840.0,True,0.04,True,0.0,True,OK,2026-09-26,30-Jun-2026,4673.5,16.4,23.77,4666.0,4694.0,247,-13.39,-0.26,24.82,2.51,LAGGING,IMPROVING,-7.37,False,False,True,,False,False,,
Capital Goods,BDL,Bharat Dynamics Ltd.,6,6,True,,False,-12.89,-3.08,,False,Bearish (Downtrend),26.61,32.13,-14.61,49,54,,not announced,,2025-11-13,False,Nifty Capital Goods,,41788.0,True,13.9,True,12.73,True,604.0,True,0.0,True,0.0,True,OK,2026-09-26,,1140.0,17.35,31.75,1131.2,1313.2,247,0.16,-14.38,3.64,-11.62,LAGGING,LAGGING,-14.4,False,False,True,,False,False,,
Cement,JKLAKSHMI,JK Lakshmi Cement Ltd.,6,6,True,,False,-13.63,2.4,,False,Bullish (Uptrend),18.42,40.82,-8.82,16,16,,not announced,,2025-11-06,False,Nifty Cement,,6336.0,True,12.0,True,13.67,True,1082.0,True,0.67,True,0.0,True,OK,2026-09-26,30-Jun-2026,510.35,20.24,18.51,505.9,544.4,247,-17.69,4.2,-18.85,3.8,IMPROVING,IMPROVING,1.73,True,False,True,,False,False,,
Capital Goods,TRITURBINE,Triveni Turbine Ltd.,6,6,True,,False,-17.65,0.33,,False,Bearish (Downtrend),15.97,43.6,-19.38,51,54,,not announced,,2025-11-10,False,Nifty Capital Goods,,17618.0,True,34.1,True,18.96,True,111.0,True,0.02,True,0.0,True,OK,2026-09-26,30-Jun-2026,554.2,13.4,19.47,552.5,554.3,247,-17.08,-1.72,17.96,1.04,LAGGING,IMPROVING,-6.07,False,False,True,,False,False,,
Capital Goods,AIAENG,AIA Engineering Ltd.,6,6,True,,False,-19.12,-3.26,,False,Bearish (Downtrend),23.95,34.85,-20.84,52,54,,not announced,,2025-11-07,False,Nifty Capital Goods,,36576.0,True,21.1,True,27.65,True,592.0,True,0.0,True,0.0,True,OK,2026-09-26,30-Jun-2026,3919.4,15.19,24.65,3886.0,3920.0,247,-8.6,-9.01,13.72,-6.25,LAGGING,LAGGING,-9.46,False,False,True,,False,False,,
Capital Goods,SUZLON,Suzlon Energy Ltd.,6,6,True,,False,-26.96,-6.21,,False,Bearish (Downtrend),39.21,24.42,-28.68,53,54,,not announced,,2025-11-04,False,Nifty Capital Goods,,55635.0,True,34.2,True,17.32,True,1202.0,True,0.06,True,0.0,True,OK,2026-09-26,30-Jun-2026,40.8,11.86,35.77,40.55,43.54,247,-20.44,-5.5,3.52,-2.74,LAGGING,LAGGING,-23.91,False,False,True,,False,False,,
Capital Goods,THERMAX,Thermax Ltd.,6,6,True,,False,-31.01,-3.92,,False,Bearish (Downtrend),53.17,28.14,-32.74,54,54,,not announced,,2025-11-11,False,Nifty Capital Goods,,41076.0,True,13.9,True,8.03,True,542.0,True,0.42,True,0.0,True,OK,2026-09-26,30-Jun-2026,3447.2,6.14,29.08,3445.1,3586.0,247,-25.97,-1.19,13.96,1.57,LAGGING,IMPROVING,-22.94,False,False,True,,False,False,,
Capital Goods,JYOTICNC,Jyoti CNC Automation Ltd.,5,6,False,Pledged percentage < 15%,True,37.33,7.62,20.4,False,Bullish (Uptrend),33.02,59.87,35.6,2,54,,not announced,,2025-11-09,False,Nifty Capital Goods,,24223.0,True,21.3,True,24.42,True,54.0,True,0.43,True,20.92,False,OK,2026-09-26,30-Jun-2026,1065.1,31.21,15.85,928.6,1134.6,247,55.23,-10.29,26.17,-7.53,WEAKENING,WEAKENING,15.36,False,False,False,,False,False,,
Capital Goods,PTCIL,PTC Industries Ltd.,5,6,False,Cash from operations last year > 0 (Rs Cr),True,28.58,-1.05,-3.7,False,Bullish (Uptrend),41.86,49.52,26.85,3,54,,not announced,,2025-11-13,False,Nifty Capital Goods,,32699.0,True,8.59,True,24.68,True,-69.0,False,0.17,True,0.07,True,OK,2026-09-26,30-Jun-2026,21810.0,25.59,19.4,20622.0,22215.0,247,22.65,5.08,9.49,7.84,LEADING,LEADING,6.19,False,False,True,Cash from operations last year > 0 (Rs Cr),True,False,,
