Name,BSE Code,NSE Code,ISIN Code,Industry Group,Industry,Current Price,Price to Earning,Market Capitalization,Dividend yield,Net Profit latest quarter,YOY Quarterly profit growth,Sales latest quarter,YOY Quarterly sales growth,Return on capital employed,EVEBITDA,Debt to equity,Return on equity,Interest Coverage Ratio,Pledged percentage,Sales growth 3Years,Profit growth 3Years,Average return on equity 3Years,Cash from operations last year,Operating cash flow 3years,Average return on capital employed 3Years,OPM,Sales growth,Capital work in progress
Krishna Defence,,KRISHNADEF,INE0J5601015,Aerospace & Defense,Aerospace & Defense,1006.80,36.70,1504.94,0.12,11.67,32.92,57.60,-15.18,31.07,25.22,0.01,23.71,159.88,0.00,56.93,93.00,19.78,86.05,71.91,24.14,23.28,29.10,3.04
Krishna Fil. Ind,500248,,INE073A01019,Industrial Products,Plastic Products - Industrial,4.71,91.75,3.67,0.00,0.10,600.00,0.00,,0.00,162.00,,,,0.12,,,,0.02,0.02,0.00,,,0.00
Kriti Industries,526423,KRITI,INE479D01038,Industrial Products,Plastic Products - Industrial,61.21,,322.55,0.00,-2.21,-130.44,173.11,-22.74,6.97,13.81,0.41,1.32,0.79,0.00,-7.09,28.31,3.86,20.35,112.55,10.73,4.68,-22.13,7.50
Kritika Wires,,KRITIKA,INE00Z501029,Industrial Products,Iron & Steel Products,5.04,17.05,134.21,0.00,1.60,15.94,161.86,-21.75,8.91,10.62,0.55,7.72,2.94,0.00,34.98,7.97,10.44,18.83,39.44,13.25,2.05,-17.13,0.57
KRN Heat Exchan,544263,KRN,INE0Q3J01015,Industrial Products,Other Industrial Products,1381.80,93.31,9045.05,0.00,32.90,164.90,252.32,118.88,16.06,59.93,0.33,14.26,15.80,0.00,,,17.21,-113.80,-75.44,18.40,19.53,64.04,33.34
Krupalu Metals,544509,,INE0XZB01017,Industrial Products,"Aluminium, Copper & Zinc Products",31.10,6.59,18.26,0.00,3.05,312.16,42.77,157.19,19.06,6.45,0.63,20.44,6.17,0.00,22.85,87.53,29.48,-11.05,-10.26,22.25,7.68,28.66,4.12
KSB,500249,KSB,INE999A01023,Industrial Products,"Compressors, Pumps & Diesel Engines",819.10,54.40,14255.55,0.54,57.20,-18.75,690.70,3.60,24.70,33.86,0.00,18.39,101.80,0.00,13.95,16.98,17.83,92.58,421.23,24.00,12.72,4.63,102.00
KSH Internationa,544664,KSHINTL,INE987S01020,Industrial Products,Cables - Electricals,1035.50,53.60,7016.10,0.00,42.22,86.16,1164.24,108.38,21.46,28.79,0.40,20.13,4.17,0.00,43.59,61.23,20.94,-64.97,-91.66,20.16,6.09,80.67,52.08
Kunststoff Inds.,523594,,INE638D01021,Industrial Products,Plastic Products - Industrial,27.26,12.04,18.78,0.00,0.29,-35.56,4.18,36.60,17.11,5.38,0.00,13.93,,0.00,-1.29,7.93,10.72,1.27,4.40,17.20,10.77,9.19,0.00
KVS Castings,544554,,INE163701019,Industrial Products,Castings & Forgings,82.32,21.90,154.38,0.00,3.36,-15.79,27.49,2.04,15.79,15.75,0.38,14.16,22.44,0.00,-3.49,13.36,19.02,4.75,20.48,25.27,21.58,2.57,0.78
Kwick Forensic,544895,,INE1SFA01019,Industrial Manufacturing,Industrial Products,172.93,27.38,370.70,0.00,,,,,51.41,18.69,0.00,39.08,46.63,0.00,73.10,95.58,41.24,7.62,9.66,49.75,18.01,62.56,1.37
L. T. Elevator,544518,,INE0TJ801010,Industrial Manufacturing,Industrial Products,335.20,41.88,712.74,0.00,10.57,34.48,64.45,74.33,30.38,26.13,0.21,24.68,10.33,0.00,47.84,149.19,25.70,-16.99,-24.31,28.18,24.48,103.31,0.00
L.K.Mehta Poly.,544366,,INE0FFF01017,Industrial Products,Plastic Products - Industrial,40.90,24.94,15.71,0.00,0.33,-5.71,13.92,17.37,7.98,15.11,0.89,5.63,2.36,0.00,20.31,302.07,8.60,-7.83,-11.30,13.03,4.66,53.77,0.01
Lak. Electrical,504258,,INE284C01018,Electrical Equipment,Other Electrical Equipment,792.45,168.05,194.94,0.38,0.52,-8.77,65.92,25.83,0.82,30.57,0.06,0.44,2.68,0.00,-13.00,-60.81,2.21,3.69,24.73,3.33,0.35,17.73,3.39
Lakshmi Engg.,505302,,INE718M01022,Industrial Manufacturing,Industrial Products,2528.95,83.31,169.12,0.40,0.60,150.00,4.03,33.00,11.47,29.64,0.44,7.41,3.05,0.00,4.10,-8.16,7.02,4.07,11.50,10.15,30.16,21.92,0.00
Laser Power,544822,LASERPOWER,INE17IR01028,Industrial Products,Cables - Electricals,272.10,34.77,3819.42,0.00,20.73,3.75,521.55,14.84,20.51,14.11,1.20,16.78,2.19,0.00,20.97,71.55,15.68,-119.05,112.10,19.02,12.96,-9.50,27.54
Latteys Industri,,LATTEYS,INE262Z01023,Industrial Products,"Compressors, Pumps & Diesel Engines",20.67,28.16,118.84,0.00,1.27,92.42,38.69,64.22,16.32,18.30,0.91,16.40,4.77,0.00,30.34,39.62,11.89,-11.19,-0.55,13.69,5.76,56.93,0.00
Laxmipati Engg,537669,,INE920P01019,Industrial Manufacturing,Ship Building & Allied Services,450.00,,258.75,0.00,24.16,-30.42,43.55,64.34,21.84,21.21,0.47,-3.58,4.70,0.00,67.90,22.38,22.27,5.20,10.24,17.39,17.50,43.78,6.93
Lead Reclaim,,LRRPL,INE0H4B01011,Industrial Products,Rubber,93.50,19.66,80.79,0.00,3.10,219.59,17.92,-18.25,21.34,10.63,0.52,18.58,7.57,0.00,65.65,70.45,12.18,5.34,5.36,14.35,21.45,29.03,5.96
Lexoraa Ind,531944,,INE185D01015,Industrial Manufacturing,Industrial Products,16.35,,6.42,0.00,-0.28,-600.00,11.13,622.73,,-49.85,,,-1.63,0.00,408.31,-54.33,,1.37,0.31,-161.15,-0.51,417.35,0.00
Liotech Ind.,544796,,INE0TKX01011,Industrial Products,Other Industrial Products,109.06,6.73,42.54,0.00,2.45,17.22,33.98,50.82,48.41,4.63,0.34,46.50,19.09,0.00,102.03,157.54,50.68,6.48,8.58,51.68,14.25,72.30,0.00
Lippi Systems,526604,,INE845B01018,Industrial Manufacturing,Industrial Products,231.60,40.63,162.12,0.00,0.00,100.00,0.00,,20.89,27.36,0.12,16.42,134.75,0.00,,63.03,3.28,-15.24,-14.56,3.64,,-100.00,0.00
Lloyds Engineeri,539992,LLOYDSENGG,INE093R01011,Industrial Manufacturing,Industrial Products,98.56,68.35,15287.04,0.25,68.23,111.96,527.15,142.92,16.10,53.00,0.06,15.10,17.31,20.31,,,,-252.90,,16.10,14.20,53.85,71.14
LMW,500252,LMW,INE269B01029,Industrial Manufacturing,Industrial Products,17133.00,100.19,18303.18,0.20,55.52,369.17,860.72,24.00,5.58,46.12,0.00,4.05,,0.00,-12.08,-31.55,7.02,177.41,347.03,9.67,6.49,11.24,1.00
Lohia Corp,544839,LCL,INE0QJW01029,Industrial Manufacturing,Industrial Products,594.70,25.32,6283.01,0.00,66.26,295.78,503.02,59.51,43.77,18.97,0.34,44.59,19.57,0.00,,,,325.16,,43.77,18.67,24.70,5.68
Lokesh Mach.,532740,LOKESHMACH,INE397H01017,Industrial Manufacturing,Industrial Products,340.20,167.77,741.53,0.00,1.01,119.57,55.46,15.42,6.38,22.33,0.74,1.76,1.32,15.33,-4.47,-23.44,3.03,-13.39,24.96,7.55,18.16,1.00,10.41
Loyal Equipments,539227,,INE876S01017,Industrial Manufacturing,Industrial Products,144.95,22.03,156.40,0.69,1.38,36.63,18.85,66.37,15.62,12.17,0.31,12.53,5.93,0.00,17.18,4.08,20.40,1.46,12.67,24.07,15.51,17.30,15.90
Lumino Inds,544894,LUMINO,INE185Q01025,Industrial Products,Cables - Electricals,105.26,18.89,3205.73,0.00,40.30,32.87,521.43,19.29,26.59,11.15,0.55,24.55,3.56,0.00,,,23.15,156.10,-174.67,26.17,12.40,6.51,47.83
Lynx Machinery,505320,,INE732D01014,Industrial Manufacturing,Industrial Products,205.70,,21.10,0.00,-0.39,-25.81,0.00,,-4.45,-78.89,,,-0.37,0.00,100.00,,,-5.36,-14.97,-6.79,,,0.00
M E T S,538401,,INE318N01011,Industrial Manufacturing,Industrial Products,175.60,12.90,96.76,0.00,1.53,0.66,9.66,-7.38,23.47,6.47,0.04,19.37,25.89,0.00,16.77,36.33,16.92,1.66,14.54,21.14,19.38,25.41,6.39
M P K Steels,544553,,INE1PJP01015,Industrial Products,Iron & Steel Products,96.00,16.13,97.74,0.00,4.40,55.48,166.27,68.29,18.96,8.88,0.32,15.88,6.38,0.00,23.45,49.60,19.82,7.36,-4.95,21.56,4.11,25.30,0.01
M Tek Copper,,MCL,INE813V01022,Industrial Products,"Aluminium, Copper & Zinc Products",59.36,35.65,161.12,0.00,1.05,0.96,80.26,73.72,12.65,15.71,0.82,9.36,3.14,0.00,,45.32,7.93,6.22,8.27,8.24,4.23,83.25,0.00
Macpower CNC,,MACPOWER,INE155Z01011,Industrial Manufacturing,Industrial Products,2062.50,53.04,2063.36,0.07,9.58,110.09,95.24,56.05,29.11,33.26,0.00,21.30,27.59,0.00,18.17,38.03,21.02,14.03,37.85,28.64,16.71,34.80,0.65
Magna Electrocas,517449,,INE437D01010,Industrial Products,Castings & Forgings,1483.90,40.39,628.00,0.34,3.73,-43.99,50.81,4.72,17.40,19.16,0.10,13.42,18.03,0.00,6.06,5.57,15.80,21.28,68.39,20.92,15.49,8.71,4.76
Magnus Steel,517320,,INE898E01011,Electrical Equipment,Other Electrical Equipment,35.33,1.83,11.94,0.00,2.41,487.80,7.30,274.36,170.70,2.08,0.52,464.95,82.38,0.00,,159.88,,-0.17,-0.51,-60.30,23.60,443.19,0.00
Mah. Seamless,500265,MAHSEAMLES,INE271B01025,Industrial Products,Iron & Steel Products,715.65,12.98,9589.11,1.40,266.40,15.67,1091.20,-4.72,14.31,8.79,0.00,10.67,368.00,0.00,-6.49,-2.80,13.61,932.80,2583.84,17.96,14.75,-12.21,73.15
Mahalaxmi Seam.,513460,,INE257F01017,Industrial Products,Iron & Steel Products,8.61,,4.55,0.00,0.16,77.78,0.62,37.78,15.07,16.56,,,0.71,0.00,1.08,,,0.27,0.03,28.94,13.59,10.75,0.00
Mahamaya Steel,513554,MAHASTEEL,INE451L01014,Industrial Products,Iron & Steel Products,1232.10,203.51,2024.88,0.00,2.13,67.72,267.63,29.26,8.40,77.34,0.37,5.67,3.98,0.00,10.76,21.15,4.95,7.67,30.80,7.53,2.60,18.26,0.00
Mahindra EPC,523754,MAHEPC,INE215D01010,Industrial Manufacturing,Industrial Products,99.02,25.02,276.77,0.00,-2.14,-318.37,54.16,-12.70,10.33,15.00,0.24,7.93,5.30,0.00,14.05,47.03,4.57,-16.28,-19.09,6.77,5.75,5.12,0.35
Mahip Industries,542503,,INE00CX01017,Industrial Products,Packaging,17.40,22.78,33.48,0.00,0.26,92.11,1.93,-67.99,,22.51,,,30.60,0.00,,35.09,,-0.88,-22.24,-25.60,19.78,49.43,0.00
Maiden Forgings,543874,,INE0O1T01010,Industrial Products,Iron & Steel Products,100.95,28.41,143.47,0.00,2.93,46.50,122.17,17.67,9.30,12.20,0.85,6.41,2.03,0.00,1.60,-19.30,9.99,6.22,-1.25,12.33,6.45,8.78,3.53
Maks Energy,,MAKS,INE0CDK01019,Industrial Products,"Compressors, Pumps & Diesel Engines",15.00,13.33,10.40,0.00,0.60,26.32,27.97,-13.75,9.34,7.49,0.94,4.53,1.50,0.00,6.85,29.40,4.20,2.20,2.73,9.33,5.45,-18.65,0.00
Mallcom (India),539400,MALLCOM,INE389C01015,Industrial Products,Other Industrial Products,946.85,22.08,590.83,0.32,6.57,-33.30,109.49,-10.57,11.57,12.37,0.38,9.88,5.62,0.00,9.54,-6.18,11.36,34.90,42.97,14.26,10.72,3.93,0.00
Malpani Pipes,544351,,INE0YON01014,Industrial Products,Plastic Products - Industrial,65.90,7.86,71.02,0.00,5.15,4.89,93.47,12.30,20.40,5.35,0.40,17.65,4.41,0.00,25.51,63.13,26.52,15.76,-6.19,26.57,10.15,15.67,0.00
Mamata Machinery,544318,MAMATA,INE0TO701015,Industrial Manufacturing,Industrial Products,411.90,92.40,1013.60,0.12,-3.47,-230.94,36.28,-6.16,12.60,49.52,0.05,9.64,18.82,0.00,5.07,-8.59,20.35,2.44,114.79,26.74,6.16,-13.28,0.18
Man Industries,513269,MANINDS,INE993A01026,Industrial Products,Iron & Steel Products,1020.35,37.46,7653.60,0.00,61.43,122.41,1053.13,41.91,16.21,14.09,0.30,9.23,2.77,20.05,16.89,42.91,9.17,514.91,927.81,15.54,13.73,10.75,325.78
Manaksia,532932,MANAKSIA,INE015D01022,Industrial Products,Iron & Steel Products,64.11,6.69,420.14,0.00,26.68,70.07,222.76,28.47,9.83,1.97,0.04,6.97,23.30,0.00,-12.38,-14.54,7.88,-10.53,-151.02,12.03,5.72,4.27,50.79
Manaksia Coated,539046,MANAKCOAT,INE830Q01018,Industrial Products,Iron & Steel Products,129.91,33.97,1385.28,0.04,14.10,0.64,262.14,4.94,17.83,15.98,0.37,11.03,2.90,0.00,10.71,77.37,9.53,-13.78,37.77,16.05,9.38,7.07,30.54
Manas Polymers,,MPEL,INE0U4H01011,Industrial Products,Plastic Products - Industrial,25.25,6.91,58.90,0.00,4.08,80.53,31.50,106.15,30.17,5.39,0.54,35.79,13.17,0.00,,,35.84,-7.99,-2.47,31.31,24.09,68.04,13.05
Mangal Electrica,544492,MEIL,INE0PKD01011,Electrical Equipment,Other Electrical Equipment,270.80,15.93,748.22,0.00,7.52,101.61,125.83,40.34,14.62,8.96,0.08,11.31,7.61,0.00,17.83,19.87,17.88,-101.35,-94.88,21.91,11.29,17.36,9.59
Mangalam Alloys,,MAL,INE00C401011,Industrial Products,Iron & Steel Products,41.75,7.02,103.06,0.00,2.91,-76.55,219.13,-6.31,11.88,6.80,1.87,9.75,1.68,54.25,13.11,33.79,10.04,-3.66,6.18,12.23,12.48,1.53,11.11
Manika Plastech,544929,MANIKA,INE0KWF01020,Industrial Products,Plastic Products - Industrial,42.32,21.88,493.08,0.00,,,,,19.15,9.89,0.66,16.52,3.03,0.00,3.24,21.98,14.85,44.30,112.81,16.92,13.38,7.25,6.20
Manugraph India,505324,MANUGRAPH,INE867A01022,Industrial Manufacturing,Industrial Products,19.82,,60.28,0.00,7.46,-140.28,25.71,-18.79,10.80,-47.76,0.05,6.70,-3.34,0.00,3.66,30.08,-14.80,1.19,-4.98,-7.23,-1.72,5.46,0.00
Marco Cables,,MARCO,INE0QP001012,Industrial Products,Cables - Electricals,30.00,13.36,56.10,0.00,1.19,-51.82,48.79,-22.15,14.98,8.59,1.62,12.25,1.94,0.00,22.24,17.64,14.41,-16.47,-9.14,17.34,12.17,-7.72,0.00
Marine Electric.,,MARINE,INE01JE01028,Industrial Manufacturing,Industrial Products,413.75,89.06,5790.20,0.07,17.51,48.75,259.16,55.20,18.22,47.29,0.18,13.22,5.26,0.00,25.58,52.46,12.24,-16.06,32.02,16.56,10.92,21.81,13.50
Marsons,517467,MARSONS,INE415B01044,Electrical Equipment,Heavy Electrical Equipment,122.87,47.84,2114.59,0.04,5.93,-26.15,49.26,4.74,25.39,47.81,0.00,27.23,26.65,0.00,277.36,159.55,29.09,1.60,-37.63,20.77,16.86,33.29,25.45
Master Component,,MASTER,INE0OJM01017,Industrial Products,Plastic Products - Industrial,395.00,21.24,158.00,0.19,4.20,72.84,37.61,52.45,26.62,13.18,0.30,22.45,13.17,0.00,53.11,63.25,17.49,2.24,6.00,22.40,16.56,75.29,0.23
Mauria Udyog,539219,,INE150D01027,Industrial Products,Other Industrial Products,7.42,4.45,98.83,0.00,4.87,-26.77,109.37,-18.26,21.77,5.05,2.46,54.26,6.03,0.00,22.32,66.23,51.06,38.11,173.21,15.86,7.93,-13.01,0.10
Mazagon Dock,543237,MAZDOCK,INE249Z01020,Industrial Manufacturing,Ship Building & Allied Services,2199.60,31.05,88727.46,0.82,550.46,21.51,2942.70,12.08,35.98,20.56,0.05,29.17,52.87,0.00,18.44,32.14,32.32,-2653.88,131.92,41.22,19.30,13.87,251.84
Mazda,523792,MAZDA,INE885E01042,Industrial Manufacturing,Industrial Products,280.05,18.74,560.80,1.43,7.33,49.29,80.34,61.88,15.61,12.32,0.00,11.49,39.49,0.00,3.45,0.75,12.72,-18.77,35.32,17.35,15.90,17.43,0.01
Meera Industries,540519,,INE343X01026,Industrial Manufacturing,Industrial Products,27.92,65.53,59.63,0.90,0.71,26.79,12.35,30.27,4.69,17.18,0.20,2.57,2.27,0.00,25.21,33.53,7.50,6.33,10.40,8.68,7.17,-0.53,0.00
Mega Flex Plast.,,MEGAFLEX,INE0G1D01014,Industrial Products,Packaging,99.00,19.12,120.10,0.00,5.62,74.53,48.70,13.18,14.92,11.89,0.03,10.67,90.20,0.00,14.01,51.95,5.62,17.62,12.01,7.67,10.35,29.46,0.00
Megatherm Indu.,,MEGATHERM,INE531R01010,Industrial Products,Other Industrial Products,244.95,19.03,461.50,0.00,11.64,2.08,187.18,8.47,18.10,11.34,0.30,15.80,9.15,0.00,9.20,20.07,17.92,5.17,44.22,22.09,9.59,8.02,3.38
Merritronix,544773,,INE1RQS01010,Industrial Manufacturing,Industrial Products,437.75,47.54,765.40,0.00,3.81,,55.95,,41.14,28.40,0.81,46.03,6.64,0.00,43.13,273.10,51.28,-23.38,-25.49,40.77,17.46,37.28,0.00
Metal Coatings,531810,,INE161E01014,Industrial Products,Iron & Steel Products,50.89,14.57,37.29,1.97,0.77,26.23,38.25,9.19,7.08,9.91,0.08,5.57,354.00,0.00,-4.47,-4.55,5.95,-1.16,7.30,9.33,2.10,-2.22,0.00
Metalic Technoforge,,METALIC,INE1II801013,Industrial Products,Iron & Steel Products,180.25,35.09,432.32,0.00,,,,,36.06,19.04,0.95,48.48,8.52,,26.76,113.84,58.79,-0.96,2.96,43.63,22.97,28.48,0.00
MFS Intercorp,513721,,INE614F01019,Industrial Products,Iron & Steel Products,13.02,,5.62,0.00,-0.21,-75.00,0.85,,-0.64,-28.94,0.00,-0.64,,0.00,-43.82,,-0.93,-3.72,-3.67,-1.09,-16.22,484.21,0.00
MIC Electronics,532850,MICEL,INE287C01037,Industrial Products,Other Industrial Products,36.10,,1075.36,0.00,2.13,27.54,43.72,276.57,8.67,41.61,0.20,-5.76,3.97,3.70,102.60,,10.67,3.02,-58.52,9.70,11.40,132.71,1.06
Millworks Technologies,544826,,INE1SRC01010,Aerospace & Defense,Aerospace & Defense,1188.35,56.41,2093.25,0.00,,,,,80.99,37.23,0.21,70.03,15.79,0.00,338.04,382.68,65.97,-10.76,-13.10,58.70,34.97,573.17,1.87
Mipco Seaml Ring,505797,,INE860N01012,Industrial Manufacturing,Industrial Products,36.91,52.92,13.23,0.00,0.06,175.00,1.31,,37.04,66.56,,,,0.00,,71.00,,-0.01,-0.57,37.04,4.44,,0.00
Mishra Dhatu Nig,541195,MIDHANI,INE099Z01011,Aerospace & Defense,Aerospace & Defense,405.05,56.51,7588.21,0.21,16.31,27.42,239.49,40.46,11.30,27.78,0.27,8.88,8.57,0.00,11.50,-5.68,8.02,154.67,587.27,10.45,18.79,18.17,15.80
Misquita Engg.,542801,,INE957W01025,Industrial Manufacturing,Industrial Products,55.23,112.57,25.89,0.00,0.08,300.00,9.15,41.42,3.07,47.08,0.17,1.72,2.94,0.00,22.51,-18.19,0.48,-2.80,-8.87,1.12,3.22,50.29,2.16
Mitsu Chem Plast,540078,,INE317V01016,Industrial Products,Packaging,178.70,10.49,242.64,0.11,8.74,567.18,95.15,11.57,16.29,6.66,0.57,15.04,5.76,0.00,4.26,10.07,12.05,32.77,57.28,13.52,12.58,6.70,1.37
Mittal Sections,544575,,INE833Q01012,Industrial Products,Iron & Steel Products,28.20,9.43,32.62,0.00,1.12,9.80,78.33,14.53,12.81,6.59,0.43,10.15,3.32,0.00,-3.86,89.31,18.19,-6.32,1.18,19.09,5.05,8.56,19.90
Miven Mach. Tool,522036,,INE338P01014,Industrial Manufacturing,Industrial Products,69.30,,20.81,0.00,-0.16,5.88,0.03,,,-57.00,,,,0.00,-44.97,-44.97,,-1.18,-2.11,0.00,-255.00,,0.00
Modern Insulator,515008,,INE219W01012,Electrical Equipment,Other Electrical Equipment,450.40,22.55,2123.36,0.00,29.60,94.48,188.30,33.19,19.29,15.58,0.13,15.69,22.32,0.00,18.65,42.22,10.66,46.68,98.13,12.39,14.81,41.77,0.53
Modern Malleable,517336,,INE834C01028,Industrial Products,Iron & Steel Products,35.00,16.73,407.84,0.00,7.50,206.12,55.23,98.53,14.99,12.16,0.06,11.37,33.53,0.00,42.26,34.08,6.84,7.04,2.50,9.87,19.24,129.46,0.00
Modern Steels,513303,,INE001F01019,Industrial Products,Iron & Steel Products,15.18,17.41,20.89,0.00,0.36,56.52,0.00,,5.71,17.39,0.01,5.77,,0.00,,-61.72,12.91,0.02,6.92,12.65,,,0.00
Modison,506261,MODISONLTD,INE737D01021,Electrical Equipment,Other Electrical Equipment,444.05,13.44,1440.94,1.24,33.84,506.77,270.47,101.63,30.98,9.81,0.64,32.04,14.14,0.00,28.51,82.83,18.68,-64.19,-84.18,19.64,18.76,66.70,3.49
Mold-Tek Pack.,533080,MOLDTKPAC,INE893J01029,Industrial Products,Packaging,669.85,29.27,2225.84,0.75,25.57,17.35,300.45,24.90,13.33,13.35,0.31,10.80,6.34,2.27,6.70,-3.72,10.70,125.37,314.61,13.41,19.15,14.71,13.87
Monind,532078,,INE407E01029,Industrial Products,Iron & Steel Products,19.82,,7.30,0.00,-0.78,-6.85,0.00,,,21.69,,,0.69,0.00,,20.35,,-0.27,-0.77,0.00,,,0.00
Monolithisch Ind,,MONOLITH,INE1DV401010,Industrial Products,Electrodes & Refractories,1269.65,95.89,2759.71,0.00,10.07,134.73,47.19,63.85,34.79,66.35,0.05,27.76,117.30,0.00,,,,13.79,,34.79,25.04,38.93,10.98
MPL Plastics,526143,,INE343A01016,Industrial Products,Packaging,6.68,,8.35,0.00,-0.13,13.33,0.00,,-226.67,-80.20,,,,0.00,,,,-0.49,-16.47,-2513.33,,,0.00
MSP Steel & Pow.,532650,MSPL,INE752G01015,Industrial Products,Iron & Steel Products,33.73,13.72,1911.81,0.00,21.98,23.21,826.52,16.27,9.69,11.74,0.35,13.91,2.78,63.53,3.69,67.04,5.35,148.19,507.86,8.01,6.26,4.03,19.09
MSR India,508922,,INE331L01026,Industrial Products,"Aluminium, Copper & Zinc Products",2.76,,17.35,0.00,-0.07,0.00,0.00,,,-56.73,,,,0.00,,,,0.00,-3.69,-3.61,,,0.00
MTAR Technologie,543270,MTARTECH,INE864I01014,Electrical Equipment,Other Electrical Equipment,6900.00,154.59,21224.12,0.00,50.50,349.69,360.72,130.37,15.15,83.48,0.46,12.55,5.66,3.52,15.18,-1.47,9.58,191.66,348.92,12.34,21.06,53.38,34.40
Mukand,500460,MUKANDLTD,INE304A01026,Industrial Products,Iron & Steel Products,167.05,3.82,2413.80,1.20,57.36,97.59,1362.21,20.69,4.44,5.45,1.11,5.57,4.56,0.00,-4.23,29.62,7.92,-440.98,-195.95,8.39,2.56,7.57,97.76
Mukat Pipes,523832,,INE862C01029,Industrial Products,Iron & Steel Products,13.90,,16.44,0.00,-0.13,-550.00,1.60,70.21,,93.40,,,0.57,0.00,16.92,34.20,,0.14,1.16,0.00,-7.24,58.82,0.00
Munish Forge,,MUNISH,INE1K8Y01018,Industrial Products,Castings & Forgings,89.95,20.56,216.51,0.00,3.41,-57.05,100.10,10.61,11.98,11.36,0.45,10.85,3.21,0.00,4.48,74.85,15.51,-30.19,-20.76,15.54,11.73,4.10,0.32
MV Electrosystems,544851,MVELECTRO,INE0OWZ01020,Industrial Manufacturing,Industrial Products,813.80,,2220.27,0.00,-6.89,-20.24,12.77,-5.06,-15.09,-244.89,0.88,-31.39,-3.06,0.00,-10.14,,-15.21,-57.55,-57.73,2.12,-19.53,-21.10,1.95
Nahar Poly,523391,NAHARPOLY,INE308A01027,Industrial Products,Packaging,227.68,7.74,559.82,0.66,11.68,-35.96,159.92,-18.72,10.56,5.32,0.09,9.27,12.12,0.00,-0.88,21.59,5.12,50.28,123.62,5.56,14.16,-3.96,22.29
Narmada Macplast,517431,,INE060D01028,Industrial Products,Plastic Products - Industrial,23.64,49.51,85.65,0.04,0.45,12.50,3.69,19.03,26.92,36.59,0.00,19.51,,0.00,9.93,450.69,4.96,-0.35,-6.12,16.38,16.83,37.90,0.00
Narmadesh Brass,544680,,INE0S1B01014,Industrial Products,Other Industrial Products,331.55,28.80,102.81,0.00,-0.76,,61.95,,10.83,17.20,0.20,11.24,3.58,0.00,16.67,56.58,31.31,-14.22,-16.07,26.88,4.83,8.46,0.00
National Fitting,531289,,INE643C01015,Industrial Products,Iron & Steel Products,305.95,26.64,277.90,0.33,3.94,50.38,27.13,31.83,15.53,13.21,0.14,11.29,15.82,0.00,2.04,30.29,8.37,-3.87,14.32,12.77,14.13,17.21,5.38
National Plastic,531287,,INE896D01017,Industrial Products,Plastic Products - Industrial,230.80,14.48,140.29,0.65,2.56,15.32,95.18,28.50,17.25,7.19,0.86,17.34,4.23,0.00,17.47,16.43,19.06,23.26,49.01,17.51,7.28,14.64,2.72
Natl. Gen. Inds.,531651,,INE654H01011,Industrial Products,Iron & Steel Products,52.98,,23.75,0.00,0.72,112.00,3.21,98.15,-1.32,98.88,0.03,-1.67,-1.75,0.00,-12.70,,1.16,-1.31,-0.08,1.85,-21.33,15.30,0.00
Natl. Plastic,526616,,INE233D01013,Industrial Products,Plastic Products - Industrial,40.98,11.55,37.41,0.00,0.63,-26.74,15.52,-29.36,12.35,5.53,0.53,7.92,4.20,0.00,-2.74,-7.13,7.33,3.53,30.38,10.54,10.66,2.08,0.00
Neetu Yoshi,544434,,INE0UZO01024,Industrial Products,Castings & Forgings,234.05,36.31,908.41,0.00,13.47,58.96,54.20,53.19,31.81,26.56,0.03,27.52,20.09,0.00,82.31,290.55,39.77,4.03,24.21,47.42,31.17,39.33,38.16
Nelcast,532864,NELCAST,INE189I01024,Industrial Products,Castings & Forgings,118.39,25.08,1030.01,0.59,5.14,-58.88,341.05,2.77,11.43,10.72,0.43,8.43,2.85,0.00,1.67,17.32,7.66,91.58,216.86,10.35,7.33,4.22,0.02
Neueon Corporation,532887,NEUEON,INE333I01044,Electrical Equipment,Heavy Electrical Equipment,14.39,,813.68,0.00,-0.91,95.88,0.06,-98.65,-40.43,-4.38,0.19,-43.73,-23401.00,0.00,,,,-38.35,-1285.82,-20.91,-1687.81,17.82,0.00
Newmalayalam St.,,NMSTEEL,INE0TP801012,Industrial Products,Iron & Steel Products,23.30,7.31,40.28,0.00,2.86,466.67,157.69,5.16,8.35,3.88,0.19,6.73,2.99,0.00,-3.36,-2.85,4.93,3.85,7.49,7.28,2.39,5.22,2.01
NIBE,535136,NIBE,INE149O01018,Aerospace & Defense,Aerospace & Defense,1261.40,,1955.39,0.10,-11.99,-680.53,63.01,-23.62,4.79,62.54,0.34,1.94,0.23,0.00,65.17,25.18,8.12,-34.52,8.69,12.27,6.09,-5.17,62.40
Nilachal Refract,502294,,INE416N01013,Industrial Products,Electrodes & Refractories,37.80,,76.96,0.00,-0.55,-52.78,0.00,,-6.32,-28.85,,,-9.35,0.00,,8.43,,-1.40,-2.88,-28.77,-554.44,13.92,6.07
Nitin Castings,508875,,INE861H01020,Industrial Products,Castings & Forgings,469.80,29.60,241.54,0.64,2.68,-53.06,27.47,-23.16,15.52,18.71,0.15,12.72,12.92,0.00,3.32,31.38,15.35,9.35,44.55,19.11,6.85,-5.22,5.30
Noble Polymers,539200,,INE203Q01026,Industrial Products,Plastic Products - Industrial,16.28,,14.25,0.31,1.01,676.92,11.18,,-26.44,-12.95,0.08,-29.01,,0.00,,,,-1.74,1.41,38.74,-10.47,,0.00
