Name,BSE Code,NSE Code,ISIN Code,Industry Group,Industry,Current Price,Price to Earning,Market Capitalization,Dividend yield,Net Profit latest quarter,YOY Quarterly profit growth,Sales latest quarter,YOY Quarterly sales growth,Return on capital employed,EVEBITDA,Debt to equity,Return on equity,Interest Coverage Ratio,Pledged percentage,Sales growth 3Years,Profit growth 3Years,Average return on equity 3Years,Cash from operations last year,Operating cash flow 3years,Average return on capital employed 3Years,OPM,Sales growth,Capital work in progress
D P Wires,543962,DPWIRES,INE864X01013,Industrial Products,Iron & Steel Products,163.43,13.53,253.32,0.00,4.74,31.67,130.82,3.71,9.15,7.81,0.01,6.83,27.74,0.00,-26.61,-24.60,10.82,28.09,103.43,15.40,3.61,-13.87,0.00
D.K. Enterprises,,DKEGL,INE0GN101014,Industrial Products,Packaging,69.95,9.21,52.52,0.00,2.44,-7.92,78.71,13.55,19.21,6.05,0.62,18.87,12.12,0.00,6.79,9.85,19.99,5.09,13.53,21.99,5.53,9.07,0.00
Danish Power,,DANISH,INE0YU901016,Electrical Equipment,Heavy Electrical Equipment,947.60,26.65,1865.98,0.21,41.17,9.23,309.84,18.61,23.75,18.48,0.00,18.03,49.98,0.00,40.41,101.01,25.42,46.89,52.30,44.77,17.37,22.57,14.99
Danlaw Tech.,532329,,INE310B01013,Industrial Manufacturing,Industrial Products,1526.35,29.21,743.43,0.00,5.93,70.89,73.72,34.60,27.59,17.28,0.30,26.07,20.26,0.00,16.16,46.80,31.77,20.62,54.43,32.03,15.05,24.10,7.70
Data Pattern,543428,DATAPATTNS,INE0IX101010,Aerospace & Defense,Aerospace & Defense,4418.80,91.53,24738.20,0.23,22.06,-13.49,116.03,16.81,21.92,61.93,0.00,15.24,29.87,0.00,26.81,26.05,14.83,80.15,129.65,20.87,39.65,33.81,74.08
DCG Cables,,DCG,INE0S8401018,Industrial Products,Cables - Electricals,74.60,15.64,135.40,0.00,2.80,-15.41,90.66,33.36,13.45,7.50,0.70,10.37,3.24,0.00,44.09,72.74,16.39,5.28,-13.57,22.45,14.98,27.86,3.69
DCX Systems,543650,DCXINDIA,INE0KL801015,Aerospace & Defense,Aerospace & Defense,161.99,,1804.35,0.00,-8.66,-313.30,103.13,-53.58,0.87,95.29,0.00,-0.53,-1.41,0.00,-15.99,,3.02,2.30,-307.04,5.32,-4.65,-46.54,0.00
De Neers Tools,,DENEERS,INE0JWV01011,Industrial Products,Iron & Steel Products,182.80,6.41,161.71,0.00,16.49,135.87,105.68,40.46,25.76,6.01,0.77,32.32,7.67,0.00,,,,-11.49,,25.76,21.76,23.96,0.00
DE Nora India,590031,DENORA,INE244A01016,Industrial Products,Electrodes & Refractories,766.50,33.39,407.01,0.52,6.39,96.62,35.27,-15.96,5.83,21.04,0.00,2.25,,0.00,18.24,-48.25,5.21,12.23,31.42,9.56,8.63,17.52,0.44
Deccan Polypacks,531989,,INE132E01015,Industrial Products,Packaging,24.00,,5.08,0.00,-0.06,79.31,0.00,,-400.00,-144.23,1.33,,,0.00,,,,-0.36,-0.55,-400.00,,,0.00
DEE Development,544198,DEEDEV,INE841L01016,Industrial Manufacturing,Industrial Products,666.20,61.13,5012.45,0.15,16.08,22.35,294.46,31.60,10.69,25.89,0.87,9.31,2.66,0.00,24.24,88.15,7.80,19.55,4.01,9.81,16.91,40.01,84.41
Deem Roll-Tech,,DEEM,INE586O01011,Industrial Products,Iron & Steel Products,47.40,5.99,39.52,0.00,2.64,158.82,45.42,-2.09,9.33,5.39,0.40,7.62,3.05,0.00,-4.20,-2.31,9.03,4.64,-1.99,10.71,12.56,-2.18,4.75
Defrail Technologies,544677,,INE0ZE201010,Industrial Products,Cables - Electricals,67.25,11.78,47.24,0.00,2.48,37.02,41.08,25.28,27.62,6.52,0.28,24.44,7.51,0.00,33.53,65.79,32.87,-1.36,-2.28,28.72,9.41,29.58,0.00
Delta Manufact.,504286,DELTAMAGNT,INE393A01011,Industrial Products,Other Industrial Products,57.16,,62.03,0.00,-0.31,79.19,19.08,33.24,-0.45,27.41,17.29,-12.54,0.35,0.00,-8.07,24.49,-38.49,0.66,3.33,-6.14,2.91,12.84,0.02
Delton Cables,504240,,INE872E01016,Electrical Equipment,Other Electrical Equipment,710.45,32.04,613.83,0.28,7.59,146.43,286.36,83.18,16.55,9.97,0.54,6.65,1.58,0.00,53.61,193.63,8.73,-5.68,-47.17,19.69,6.76,54.60,0.00
Dhabriya Poly.,538715,DHABRIYA,INE260R01016,Industrial Products,Plastic Products - Industrial,484.20,16.15,524.11,0.14,8.86,35.47,68.31,10.02,25.64,9.99,0.59,26.27,8.99,0.00,15.61,52.55,22.11,8.18,57.02,21.64,21.42,13.50,6.33
Dhanashree Elect,542679,,INE413F01016,Electrical Equipment,Other Electrical Equipment,122.05,50.35,173.19,0.08,0.80,-23.81,22.68,-11.30,10.00,19.44,0.80,6.60,1.68,0.00,31.27,11.11,8.34,-7.79,-27.60,11.43,-0.68,-1.02,0.00
Dhatre Udyog,540080,DHATRE,INE715T01031,Industrial Products,Iron & Steel Products,4.13,,45.00,0.00,0.08,-76.47,0.00,-100.00,-3.87,-20.43,0.00,-3.22,,0.00,-56.01,,5.69,8.93,30.03,7.56,-48.25,-93.68,0.00
Dhaval Packaging,544854,,INE1HX301016,Industrial Products,Packaging,124.15,21.21,170.54,0.00,1.78,,15.24,,27.82,13.43,0.78,31.58,6.31,0.00,14.84,150.74,38.05,6.74,11.75,24.67,21.68,24.44,9.47
Dhunseri Vent.,523736,DVL,INE477B01010,Industrial Products,Packaging,289.75,5.32,1014.70,1.73,174.29,136.29,231.59,44.85,6.74,5.96,0.29,4.86,6.67,0.00,17.03,-33.83,4.99,-101.63,-486.99,6.63,-11.94,-20.09,818.74
Diamond Power,522163,DIACABS,INE989C01038,Electrical Equipment,Other Electrical Equipment,354.50,114.30,21201.62,0.00,57.09,197.81,707.31,132.98,24.20,95.64,,,7.48,0.00,401.03,75.89,,-12.15,84.17,24.20,9.96,96.48,133.34
Diffusion Eng,544264,DIFFNKG,INE184O01015,Industrial Products,Other Industrial Products,430.45,29.14,1611.01,0.35,16.68,36.26,110.11,36.49,15.78,19.28,0.07,12.39,28.92,0.00,16.85,30.51,13.05,22.79,67.79,16.76,13.78,26.44,22.98
Digilogic Systems,544684,,INE1OOT01028,Aerospace & Defense,Aerospace & Defense,170.80,50.05,494.48,0.00,8.53,,59.25,,18.56,28.09,0.04,13.99,10.51,0.00,11.43,65.49,18.86,12.63,7.61,24.82,20.43,7.45,4.45
Diksha Polymers,544798,,INE1OSI01014,Industrial Products,Packaging,205.00,25.86,106.53,0.00,,,,,33.23,16.12,1.77,63.78,5.76,0.00,66.34,335.15,72.06,-3.77,-3.00,32.96,14.59,20.01,0.00
Disa India,500068,DISAQ,INE131C01011,Industrial Manufacturing,Industrial Products,11773.00,31.92,1712.04,1.70,10.58,-18.87,87.16,-14.52,26.63,19.15,0.00,19.66,135.31,0.00,17.52,23.70,20.03,13.21,102.23,27.15,15.74,3.51,28.72
Divine Power,,DPEL,INE0SCO01019,Industrial Products,Cables - Electricals,626.00,58.51,1562.81,0.00,18.88,,346.47,,,32.57,1.21,20.69,4.00,0.00,60.79,110.84,,-24.75,,0.00,8.15,,0.72
