Name,BSE Code,NSE Code,ISIN Code,Industry Group,Industry,Current Price,Price to Earning,Market Capitalization,Dividend yield,Net Profit latest quarter,YOY Quarterly profit growth,Sales latest quarter,YOY Quarterly sales growth,Return on capital employed,EVEBITDA,Debt to equity,Return on equity,Interest Coverage Ratio,Pledged percentage,Sales growth 3Years,Profit growth 3Years,Average return on equity 3Years,Cash from operations last year,Operating cash flow 3years,Average return on capital employed 3Years,OPM,Sales growth,Capital work in progress
Shiva Cement,532323,SHIVACEM,INE555C01029,Cement & Cement Products,Cement & Cement Products,15.47,,456.37,0.00,-21.35,29.49,151.49,43.44,-1.43,55.70,24.94,,-0.03,0.00,3417.38,,,84.94,281.08,-1.20,7.10,50.25,34.73
Shree Cement,500387,SHREECEM,INE070A01015,Cement & Cement Products,Cement & Cement Products,22520.00,49.85,81253.84,0.67,531.12,-17.66,6233.13,18.03,10.27,15.87,0.08,7.51,10.71,0.00,5.47,10.06,8.23,3794.07,12061.89,10.58,20.91,12.63,1466.27
Shri Keshav,530977,,INE260E01014,Cement & Cement Products,Cement & Cement Products,96.10,,168.30,0.00,-5.17,-267.31,47.19,15.92,6.25,10.77,2.64,-7.02,0.66,0.00,9.39,,-0.59,36.71,97.57,7.59,19.98,27.38,2.28
Sri Chakra Cem.,518053,,INE827D01020,Cement & Cement Products,Cement & Cement Products,35.50,,31.95,0.00,0.28,104.18,26.26,-29.64,-79.12,-4.31,,,-10.17,0.00,,,,5.38,,-79.12,-18.75,19.60,0.00
Star Cement,540575,STARCEMENT,INE460H01021,Cement & Cement Products,Cement & Cement Products,186.61,19.96,7542.41,1.07,73.91,-24.10,942.89,3.39,16.65,8.64,0.19,13.21,11.15,1.33,11.77,17.42,10.32,764.86,1551.08,13.84,23.70,14.53,94.80
The Ramco Cement,500260,RAMCOCEM,INE331A01037,Cement & Cement Products,Cement & Cement Products,867.55,107.57,20499.55,0.29,31.24,-74.66,2273.05,9.60,6.13,17.41,0.48,0.38,1.56,3.43,3.44,-54.44,1.93,1611.06,4907.97,6.33,14.57,8.58,990.43
UltraTech Cem.,532538,ULTRACEMCO,INE481G01011,Cement & Cement Products,Cement & Cement Products,11155.00,38.11,328714.62,2.15,2603.72,15.75,24648.20,15.85,12.66,19.35,0.31,11.10,7.09,0.00,11.86,17.48,10.68,15315.86,36886.83,12.79,19.17,17.18,8742.27
Vaishno Cement,526941,,INE116E01018,Cement & Cement Products,Cement & Cement Products,2.98,,2.67,0.00,-0.08,81.40,0.00,,-104.17,-28.07,,,,0.00,,,,-0.51,-0.54,-40.54,,,0.00
Vardhman Concr.,531444,,INE115C01014,Cement & Cement Products,Cement & Cement Products,5.10,,3.65,0.00,-0.05,-150.00,0.00,,-2.33,-193.80,,,,7.09,,19.35,,-0.01,-0.06,-7.92,,,0.00
Visaka Industrie,509055,VISAKAIND,INE392A01021,Cement & Cement Products,Cement & Cement Products,90.98,11.65,786.11,1.32,50.03,118.85,588.85,16.56,7.03,5.72,0.36,2.02,4.01,0.00,0.58,-34.55,0.81,182.64,306.66,4.66,10.13,10.67,4.85
